t,original
3.690000000000002722e-01,9.080721000000002707e-01
3.700000000000002731e-01,9.090900000000001757e-01
3.710000000000002740e-01,9.101001000000003005e-01
3.720000000000002749e-01,9.111024000000000900e-01
3.730000000000002758e-01,9.120969000000003213e-01
3.740000000000002767e-01,9.130836000000001063e-01
3.750000000000002776e-01,9.140625000000003331e-01
3.760000000000002784e-01,9.150336000000001135e-01
3.770000000000002793e-01,9.159969000000003359e-01
3.780000000000002802e-01,9.169524000000002228e-01
3.790000000000002811e-01,9.179001000000003296e-01
3.800000000000002820e-01,9.188400000000002121e-01
3.810000000000002829e-01,9.197721000000003144e-01
3.820000000000002838e-01,9.206964000000001924e-01
3.830000000000002847e-01,9.216129000000004012e-01
3.840000000000002855e-01,9.225216000000001637e-01
3.850000000000002864e-01,9.234225000000003680e-01
3.860000000000002873e-01,9.243156000000002370e-01
3.870000000000002882e-01,9.252009000000004368e-01
3.880000000000002891e-01,9.260784000000000793e-01
3.890000000000002900e-01,9.269481000000002746e-01
3.900000000000002909e-01,9.278100000000001346e-01
3.910000000000002918e-01,9.286641000000002144e-01
3.920000000000002927e-01,9.295104000000000699e-01
3.930000000000002935e-01,9.303489000000002562e-01
3.940000000000002944e-01,9.311796000000001072e-01
3.950000000000002953e-01,9.320025000000002890e-01
3.960000000000002962e-01,9.328176000000001356e-01
3.970000000000002971e-01,9.336249000000003129e-01
3.980000000000002980e-01,9.344244000000001549e-01
3.990000000000002989e-01,9.352161000000003277e-01
4.000000000000002998e-01,9.360000000000001652e-01
4.010000000000003006e-01,9.367761000000003335e-01
4.020000000000003015e-01,9.375444000000001665e-01
4.030000000000003024e-01,9.383049000000003304e-01
4.040000000000003033e-01,9.390576000000001589e-01
4.050000000000003042e-01,9.398025000000003182e-01
4.060000000000003051e-01,9.405396000000001422e-01
4.070000000000003060e-01,9.412689000000004080e-01
4.080000000000003069e-01,9.419904000000000055e-01
4.090000000000003078e-01,9.427041000000002668e-01
4.100000000000003086e-01,9.434100000000000819e-01
4.110000000000003095e-01,9.441081000000002277e-01
4.120000000000003104e-01,9.447984000000000382e-01
4.130000000000003113e-01,9.454809000000002905e-01
4.140000000000003122e-01,9.461556000000000965e-01
4.150000000000003131e-01,9.468225000000002334e-01
4.160000000000003140e-01,9.474816000000000349e-01
4.170000000000003149e-01,9.481329000000002782e-01
4.180000000000003157e-01,9.487764000000000753e-01
4.190000000000003166e-01,9.494121000000003141e-01
4.200000000000003175e-01,9.500400000000001066e-01
4.210000000000003184e-01,9.506601000000003410e-01
4.220000000000003193e-01,9.512724000000001290e-01
4.230000000000003202e-01,9.518769000000002478e-01
4.240000000000003211e-01,9.524736000000001424e-01
4.250000000000003220e-01,9.530625000000002567e-01
4.260000000000003229e-01,9.536436000000001467e-01
4.270000000000003237e-01,9.542169000000003676e-01
4.280000000000003246e-01,9.547824000000000311e-01
4.290000000000003255e-01,9.553401000000002474e-01
4.300000000000003264e-01,9.558900000000000174e-01
4.310000000000003273e-01,9.564321000000002293e-01
4.320000000000003282e-01,9.569663999999999948e-01
4.330000000000003291e-01,9.574929000000002022e-01
4.340000000000003300e-01,9.580116000000000742e-01
4.350000000000003308e-01,9.585225000000002771e-01
4.360000000000003317e-01,9.590256000000000336e-01
4.370000000000003326e-01,9.595209000000002320e-01
4.380000000000003335e-01,9.600084000000000950e-01
4.390000000000003344e-01,9.604881000000002889e-01
4.400000000000003353e-01,9.609600000000000364e-01
4.410000000000003362e-01,9.614241000000002257e-01
4.420000000000003371e-01,9.618804000000000798e-01
4.430000000000003380e-01,9.623289000000002646e-01
4.440000000000003388e-01,9.627696000000001142e-01
4.450000000000003397e-01,9.632025000000002946e-01
4.460000000000003406e-01,9.636276000000000286e-01
4.470000000000003415e-01,9.640449000000002044e-01
4.480000000000003424e-01,9.644543999999999340e-01
4.490000000000003433e-01,9.648561000000002164e-01
4.500000000000003442e-01,9.652499999999999414e-01
4.510000000000003451e-01,9.656361000000002193e-01
4.520000000000003459e-01,9.660143999999999398e-01
4.530000000000003468e-01,9.663849000000002132e-01
4.540000000000003477e-01,9.667476000000000402e-01
4.550000000000003486e-01,9.671025000000001981e-01
4.560000000000003495e-01,9.674496000000000206e-01
4.570000000000003504e-01,9.677889000000001740e-01
4.580000000000003513e-01,9.681203999999999921e-01
4.590000000000003522e-01,9.684441000000002520e-01
4.600000000000003531e-01,9.687599999999999545e-01
4.610000000000003539e-01,9.690681000000002099e-01
4.620000000000003548e-01,9.693684000000000189e-01
4.630000000000003557e-01,9.696609000000002698e-01
4.640000000000003566e-01,9.699456000000000744e-01
4.650000000000003575e-01,9.702225000000002098e-01
4.660000000000003584e-01,9.704916000000000098e-01
4.670000000000003593e-01,9.707529000000001407e-01
4.680000000000003602e-01,9.710063999999999362e-01
4.690000000000003610e-01,9.712521000000001736e-01
4.700000000000003619e-01,9.714899999999999647e-01
4.710000000000003628e-01,9.717201000000000866e-01
4.720000000000003637e-01,9.719423999999998731e-01
4.730000000000003646e-01,9.721569000000001015e-01
4.740000000000003655e-01,9.723635999999998836e-01
4.750000000000003664e-01,9.725625000000001075e-01
4.760000000000003673e-01,9.727535999999998850e-01
4.770000000000003681e-01,9.729369000000001044e-01
4.780000000000003690e-01,9.731123999999999885e-01
4.790000000000003699e-01,9.732801000000002034e-01
4.800000000000003708e-01,9.734399999999999720e-01
4.810000000000003717e-01,9.735921000000001824e-01
4.820000000000003726e-01,9.737363999999999464e-01
4.830000000000003735e-01,9.738729000000001523e-01
4.840000000000003744e-01,9.740015999999999119e-01
4.850000000000003753e-01,9.741225000000002243e-01
4.860000000000003761e-01,9.742355999999999794e-01
4.870000000000003770e-01,9.743409000000000653e-01
4.880000000000003779e-01,9.744383999999998158e-01
4.890000000000003788e-01,9.745281000000001193e-01
4.900000000000003797e-01,9.746099999999998653e-01
4.910000000000003806e-01,9.746841000000000532e-01
4.920000000000003815e-01,9.747503999999999058e-01
