t,RCoutput
1.013200000000000000e+04,-1.280022172012329484e+00
1.013300000000000000e+04,1.168557441823131704e+00
1.013400000000000000e+04,6.216554574447936687e-01
1.013500000000000000e+04,-1.473693010913539325e-01
1.013600000000000000e+04,-7.265687070085258270e-01
1.013700000000000000e+04,-3.025446982583783750e-01
1.013800000000000000e+04,-1.096756554686611373e+00
1.013900000000000000e+04,6.117907991233657583e-01
1.014000000000000000e+04,-7.345762559478679066e-01
1.014100000000000000e+04,-1.763344429315560902e-02
1.014200000000000000e+04,-1.196552766569163762e+00
1.014300000000000000e+04,1.045835054052268731e+00
1.014400000000000000e+04,1.473279594041194684e-01
1.014500000000000000e+04,-6.252369970307785074e-01
1.014600000000000000e+04,-4.251721211180452542e-01
1.014700000000000000e+04,-9.397281826304060282e-01
1.014800000000000000e+04,1.217865289187329836e-01
1.014900000000000000e+04,-1.287638785083971449e+00
1.015000000000000000e+04,1.346035448699574921e+00
1.015100000000000000e+04,1.066686624830389007e+00
1.015200000000000000e+04,8.156147905012618438e-01
1.015300000000000000e+04,2.012076202761603483e-01
1.015400000000000000e+04,-8.348660042923778946e-01
1.015500000000000000e+04,-3.072856162595982710e-02
1.015600000000000000e+04,-1.226214648769181181e+00
1.015700000000000000e+04,1.263728330281159273e+00
1.015800000000000000e+04,2.514098276332958903e-01
1.015900000000000000e+04,-5.316133445782886824e-01
1.016000000000000000e+04,-6.503195099733023454e-01
1.016100000000000000e+04,-6.623863766500530659e-01
1.016200000000000000e+04,-5.682222439567490291e-01
1.016300000000000000e+04,-5.076600190826416892e-01
1.016400000000000000e+04,-5.329792451023056543e-01
1.016500000000000000e+04,-5.275138697098582519e-01
1.016600000000000000e+04,-6.422763377470266377e-01
1.016700000000000000e+04,-5.562273641582603512e-01
1.016800000000000000e+04,-7.436682353446464333e-01
1.016900000000000000e+04,-3.456836120659050327e-01
1.017000000000000000e+04,-1.033351351754252079e+00
1.017100000000000000e+04,3.908447257156177912e-01
1.017200000000000000e+04,-1.117219171468637917e+00
1.017300000000000000e+04,9.628833358778283724e-01
1.017400000000000000e+04,-7.603570232600276313e-02
1.017500000000000000e+04,-7.349488339193364084e-01
1.017600000000000000e+04,-3.386626503380423259e-01
1.017700000000000000e+04,-1.076867102568826784e+00
1.017800000000000000e+04,5.292562766275499264e-01
1.017900000000000000e+04,-8.914569597486448060e-01
1.018000000000000000e+04,2.848588442358352957e-01
1.018100000000000000e+04,-1.178989529148537052e+00
1.018200000000000000e+04,1.050507436437289499e+00
1.018300000000000000e+04,1.634650602098357552e-01
1.018400000000000000e+04,-6.231133858397890357e-01
1.018500000000000000e+04,-4.426763902234345238e-01
1.018600000000000000e+04,-9.732009630464744099e-01
1.018700000000000000e+04,1.135609709883778073e-01
1.018800000000000000e+04,-1.294376832380526032e+00
1.018900000000000000e+04,1.349523898622168261e+00
1.019000000000000000e+04,1.099182925860043625e+00
1.019100000000000000e+04,9.198254036818513946e-01
1.019200000000000000e+04,3.973039996197202939e-01
1.019300000000000000e+04,-6.835040786968127335e-01
1.019400000000000000e+04,2.656140528454375982e-02
1.019500000000000000e+04,-8.870446073173505752e-01
1.019600000000000000e+04,1.021835724150644609e+00
1.019700000000000000e+04,-6.927951788219068874e-01
1.019800000000000000e+04,-1.658628336024960959e-01
1.019900000000000000e+04,-8.184574496724121850e-01
1.020000000000000000e+04,4.486346437012276311e-01
1.020100000000000000e+04,-7.810074978330390216e-01
1.020200000000000000e+04,3.387033653629285546e-01
1.020300000000000000e+04,-1.000991516756497113e+00
1.020400000000000000e+04,5.871938047731455335e-01
1.020500000000000000e+04,-8.477923728170040363e-01
1.020600000000000000e+04,1.411247183099200164e-01
1.020700000000000000e+04,-1.208861704767101752e+00
1.020800000000000000e+04,1.069674983700229731e+00
1.020900000000000000e+04,3.232206225495861673e-01
1.021000000000000000e+04,-5.194834038190863090e-01
1.021100000000000000e+04,-5.265036396060445156e-01
1.021200000000000000e+04,-7.595888978794507196e-01
1.021300000000000000e+04,-3.627202025358591264e-01
1.021400000000000000e+04,-1.035231583072350858e+00
1.021500000000000000e+04,3.929878153241510574e-01
1.021600000000000000e+04,-1.111438999048949938e+00
1.021700000000000000e+04,8.494453493728899574e-01
1.021800000000000000e+04,-3.263138007498991300e-01
1.021900000000000000e+04,-6.005975331156818697e-01
1.022000000000000000e+04,-5.637405018929380063e-01
1.022100000000000000e+04,-6.903495814477391690e-01
1.022200000000000000e+04,-4.636271658880986024e-01
1.022300000000000000e+04,-9.090228244536824320e-01
1.022400000000000000e+04,-1.376345336931983354e-02
1.022500000000000000e+04,-1.305085177373329852e+00
1.022600000000000000e+04,1.302658191991232783e+00
1.022700000000000000e+04,1.014280999848216069e+00
1.022800000000000000e+04,7.812739866461162475e-01
1.022900000000000000e+04,1.137311950921393588e-01
1.023000000000000000e+04,-8.331545523078913718e-01
1.023100000000000000e+04,9.827506796534013489e-02
1.023200000000000000e+04,-1.241916328445684670e+00
1.023300000000000000e+04,1.386404231527168296e+00
1.023400000000000000e+04,4.353663286201525651e-01
1.023500000000000000e+04,-3.441333547419356265e-01
1.023600000000000000e+04,-8.910133416416776697e-01
1.023700000000000000e+04,-3.937276137564529321e-01
1.023800000000000000e+04,-1.221953521220926042e+00
1.023900000000000000e+04,5.413037783445169282e-01
1.024000000000000000e+04,-8.476156318891483465e-01
1.024100000000000000e+04,1.987727903885656566e-01
1.024200000000000000e+04,-1.208350748011532971e+00
1.024300000000000000e+04,1.109432545155229377e+00
1.024400000000000000e+04,3.597861939986213287e-01
1.024500000000000000e+04,-5.334686336526290873e-01
1.024600000000000000e+04,-5.903563400339360001e-01
1.024700000000000000e+04,-7.520277248091282729e-01
1.024800000000000000e+04,-4.954996817388215291e-01
1.024900000000000000e+04,-9.010497433033748393e-01
1.025000000000000000e+04,3.220994832003132302e-02
1.025100000000000000e+04,-1.311970379620667870e+00
1.025200000000000000e+04,1.370486679608984737e+00
1.025300000000000000e+04,1.185784125656717869e+00
1.025400000000000000e+04,1.102299365603081949e+00
1.025500000000000000e+04,7.175099771495565548e-01
1.025600000000000000e+04,-4.220986208333004086e-01
1.025700000000000000e+04,7.634759540902535946e-02
1.025800000000000000e+04,-3.973116978400419441e-01
1.025900000000000000e+04,4.916774634650415976e-01
1.026000000000000000e+04,-1.103154859289163348e+00
1.026100000000000000e+04,3.781099929632336654e-01
1.026200000000000000e+04,-3.028901396032788185e-01
1.026300000000000000e+04,-4.359285211525065762e-02
1.026400000000000000e+04,-7.270523522289664697e-01
1.026500000000000000e+04,1.323067069420105213e-01
1.026600000000000000e+04,-9.676631217173161659e-01
1.026700000000000000e+04,4.472067957465273302e-01
1.026800000000000000e+04,-1.139268469522288107e+00
1.026900000000000000e+04,6.843242362871548856e-01
1.027000000000000000e+04,-6.579981562486585389e-01
1.027100000000000000e+04,-3.415423799966377238e-01
1.027200000000000000e+04,-1.098977954916861011e+00
1.027300000000000000e+04,5.445284658725526583e-01
1.027400000000000000e+04,-8.612709710517192363e-01
1.027500000000000000e+04,2.327438563185038056e-01
1.027600000000000000e+04,-1.266479397483125879e+00
1.027700000000000000e+04,1.228118293473431599e+00
1.027800000000000000e+04,6.761222995498465949e-01
1.027900000000000000e+04,-1.219339422691190222e-01
1.028000000000000000e+04,-7.329912387730361800e-01
1.028100000000000000e+04,-1.905124607411399218e-01
1.028200000000000000e+04,-1.135139060666287225e+00
1.028300000000000000e+04,7.442730588710224637e-01
1.028400000000000000e+04,-5.605729566368458094e-01
1.028500000000000000e+04,-3.956693887979287894e-01
1.028600000000000000e+04,-9.571718435918672441e-01
1.028700000000000000e+04,1.473051419618345292e-01
1.028800000000000000e+04,-1.262644968542129931e+00
1.028900000000000000e+04,1.203839028198605110e+00
1.029000000000000000e+04,7.406438384286229137e-01
1.029100000000000000e+04,1.668855827491944055e-01
1.029200000000000000e+04,-7.220157721979960641e-01
1.029300000000000000e+04,-2.201590090880287676e-01
1.029400000000000000e+04,-1.135522428732202105e+00
1.029500000000000000e+04,7.937205582205684173e-01
1.029600000000000000e+04,-4.262210732051077144e-01
1.029700000000000000e+04,-4.830990474331904316e-01
1.029800000000000000e+04,-7.607488241134303664e-01
1.029900000000000000e+04,-3.237764364018582697e-01
1.030000000000000000e+04,-1.069125507974358236e+00
1.030100000000000000e+04,5.204665731806503715e-01
1.030200000000000000e+04,-9.883276866790593473e-01
1.030300000000000000e+04,5.707300439715008444e-01
1.030400000000000000e+04,-8.752279383360743736e-01
1.030500000000000000e+04,2.552842890138169452e-01
1.030600000000000000e+04,-1.183335319029418464e+00
1.030700000000000000e+04,9.875048895586560072e-01
1.030800000000000000e+04,6.446463261184920412e-02
1.030900000000000000e+04,-6.653825714434031813e-01
1.031000000000000000e+04,-3.763367439485536536e-01
1.031100000000000000e+04,-1.029600893737801837e+00
1.031200000000000000e+04,3.067964714200019927e-01
1.031300000000000000e+04,-1.172985140348660416e+00
1.031400000000000000e+04,1.003743376197971937e+00
1.031500000000000000e+04,7.554138228542583988e-02
1.031600000000000000e+04,-6.787946500674655326e-01
1.031700000000000000e+04,-3.192769845431184805e-01
1.031800000000000000e+04,-1.051880422832986994e+00
1.031900000000000000e+04,4.512581937587700764e-01
1.032000000000000000e+04,-1.022172901537796719e+00
1.032100000000000000e+04,6.096438868742763972e-01
1.032200000000000000e+04,-7.554591910698320589e-01
1.032300000000000000e+04,1.352179066986458622e-02
1.032400000000000000e+04,-1.243473606637632400e+00
1.032500000000000000e+04,1.135050824671455683e+00
1.032600000000000000e+04,3.980550179827675450e-01
1.032700000000000000e+04,-4.579411745119625898e-01
1.032800000000000000e+04,-6.090692446352523604e-01
1.032900000000000000e+04,-6.535823287916655566e-01
1.033000000000000000e+04,-6.471438784024492463e-01
1.033100000000000000e+04,-6.629274925334502910e-01
1.033200000000000000e+04,-5.633439284373613631e-01
1.033300000000000000e+04,-7.076260264672185052e-01
1.033400000000000000e+04,-4.071229219623320184e-01
1.033500000000000000e+04,-9.719641158764020794e-01
1.033600000000000000e+04,2.089419162632588645e-01
1.033700000000000000e+04,-1.236244829038546378e+00
1.033800000000000000e+04,1.172020099310662200e+00
1.033900000000000000e+04,5.775336839180145176e-01
1.034000000000000000e+04,-1.583374910192767437e-01
1.034100000000000000e+04,-8.062076841306655695e-01
1.034200000000000000e+04,-1.472544710830843151e-01
1.034300000000000000e+04,-1.181317492396605662e+00
1.034400000000000000e+04,9.721876160794411526e-01
1.034500000000000000e+04,-6.339677244155694780e-02
1.034600000000000000e+04,-7.030406283735555206e-01
1.034700000000000000e+04,-3.137860688025773115e-01
1.034800000000000000e+04,-1.142645304464913192e+00
1.034900000000000000e+04,6.212786920444344219e-01
1.035000000000000000e+04,-7.926112654893593401e-01
1.035100000000000000e+04,6.034757738329954435e-03
1.035200000000000000e+04,-1.217190457019685201e+00
1.035300000000000000e+04,1.047636703635391520e+00
1.035400000000000000e+04,1.794843757261954664e-01
1.035500000000000000e+04,-7.015612506222193012e-01
1.035600000000000000e+04,-3.491967386031253895e-01
1.035700000000000000e+04,-1.104919961075407464e+00
1.035800000000000000e+04,4.951225168228239326e-01
1.035900000000000000e+04,-1.016620885027364807e+00
1.036000000000000000e+04,5.994911212701365955e-01
1.036100000000000000e+04,-8.323246244419584272e-01
1.036200000000000000e+04,1.399149740827860811e-01
1.036300000000000000e+04,-1.238133464640611248e+00
1.036400000000000000e+04,1.170312687261940710e+00
1.036500000000000000e+04,5.008506997223207691e-01
1.036600000000000000e+04,-3.370464751443140727e-01
1.036700000000000000e+04,-7.104553358985956635e-01
1.036800000000000000e+04,-4.177346779346606809e-01
1.036900000000000000e+04,-9.857391089591582833e-01
1.037000000000000000e+04,1.714414381270672472e-01
1.037100000000000000e+04,-1.218430957430739703e+00
1.037200000000000000e+04,1.173534767719305094e+00
1.037300000000000000e+04,5.446901875285412586e-01
1.037400000000000000e+04,-1.687942746840267461e-01
1.037500000000000000e+04,-7.515327444658286282e-01
1.037600000000000000e+04,-2.453219103145456437e-01
1.037700000000000000e+04,-1.163157763623097196e+00
1.037800000000000000e+04,7.468129837830534967e-01
1.037900000000000000e+04,-4.915158070732399409e-01
1.038000000000000000e+04,-4.609570175912431900e-01
1.038100000000000000e+04,-8.663077266368963691e-01
