Hx,Hy
-3.593217641466120438e-01,-3.325882978552918701e-01
4.866547198795012630e-01,-1.077965292439836131e-01
5.606375278226222170e-01,1.459964159638503789e-01
7.059562033195642128e-01,1.681912583467866651e-01
4.704674329392632415e-01,2.117868609958692694e-01
9.019114133568251201e-01,1.411402298817789613e-01
2.318353321150795621e-03,2.705734240070475360e-01
1.270565899340077021e+00,6.955059963452386428e-04
-1.259377280395856946e+00,3.811697698020231062e-01
-8.392738183261474472e-01,-3.778131841187570839e-01
-3.639459430976086374e-01,-2.517821454978442230e-01
5.627785452060649618e-01,-1.091837829292825884e-01
4.474086497487605452e-01,1.688335635618194719e-01
8.885892637438067565e-01,1.342225949246281524e-01
2.879536342756336409e-02,2.665767791231420381e-01
1.265415936986246326e+00,8.638609028269008880e-03
-1.233149881982022578e+00,3.796247810958738866e-01
-7.492973029093126236e-01,-3.699449645946067400e-01
-1.559699920006449303e-01,-2.247891908727937815e-01
7.411535153606524373e-01,-4.679099760019347909e-02
1.841770557357725602e-01,2.223460546081957312e-01
1.174856391604898631e+00,5.525311672073176389e-02
-8.771494405321040855e-01,3.524569174814695671e-01
2.753093200453731182e-01,-2.631448321596311923e-01
6.307418574549847889e-01,8.259279601361192713e-02
5.256233889695418604e-01,1.892225572364954200e-01
8.024306313919385980e-01,1.576870166908625470e-01
2.562341312163712304e-01,2.407291894175815627e-01
1.148810887417289539e+00,7.687023936491137188e-02
-7.708027977029888733e-01,3.446432662251868728e-01
5.128515320997302229e-01,-2.312408393108966453e-01
4.005357891212464327e-01,1.538554596299190613e-01
9.292549739161476419e-01,1.201607367363739243e-01
-8.875999243068635747e-02,2.787764921748442926e-01
1.267746821416030567e+00,-2.662799772920590793e-02
-1.276682802223834123e+00,3.803240464248091590e-01
-9.015625220669325479e-01,-3.830048406671502370e-01
-5.209458143411136444e-01,-2.704687566200797422e-01
3.495928853085837895e-01,-1.562837443023340767e-01
6.726149960559331120e-01,1.048778655925751285e-01
4.715025595055230556e-01,2.017844988167799281e-01
8.905439697484168748e-01,1.414507678516569167e-01
3.115478097428017734e-02,2.671631909245250625e-01
1.265804322395947645e+00,9.346434292284053549e-03
-1.233818381342485671e+00,3.797412967187842603e-01
-7.514896206752434971e-01,-3.701455144027456790e-01
-1.607768243784154505e-01,-2.254468862025730269e-01
7.383642516373359888e-01,-4.823304731352463098e-02
1.885124773521268393e-01,2.215092754912007800e-01
1.171757539726790087e+00,5.655374320563805179e-02
-8.656682814635738854e-01,3.515272619180370151e-01
3.023930589731008145e-01,-2.597004844390721767e-01
6.122813285997747990e-01,9.071791769193024435e-02
5.658741221992626969e-01,1.836843985799324341e-01
7.353854675352319292e-01,1.697622366597787980e-01
4.126537364529624941e-01,2.206156402605695677e-01
9.822192915685421521e-01,1.237961209358887371e-01
-2.268605104852835785e-01,2.946657874705626567e-01
1.222613819765861809e+00,-6.805815314558506801e-02
-1.160756526341044426e+00,3.667841459297585538e-01
-5.195138528909002407e-01,-3.482269579023133388e-01
2.739205414139195827e-01,-1.558541558672700555e-01
7.391003959208372054e-01,8.217616242417587202e-02
3.173990090737021652e-01,2.217301187762511505e-01
1.080691135430895899e+00,9.521970272211065234e-02
-5.398309595563757224e-01,3.242073406292687587e-01
